index,result,odds_home,odds_draw,odds_away,points_home,points_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,shots_given_home,shots_given_away,shots_conceded_home,shots_conceded_away,corners_difference_home,corners_difference_away
2059.0,draw,3.0,3.2,2.5,4,4,4,4,8,8,53,61,71,52,-16,4
2060.0,draw,2.62,3.0,2.9,5,8,4,6,5,3,45,61,87,49,-31,-1
2061.0,away win,1.75,3.5,5.0,6,5,6,3,6,6,68,55,48,54,6,-2
2062.0,draw,1.75,3.4,5.0,5,4,4,6,7,9,57,60,55,84,3,0
2063.0,home win,1.4,4.0,10.0,11,0,11,3,6,15,55,66,48,82,5,2
2064.0,home win,1.12,9.0,21.0,10,7,15,8,5,8,77,62,65,55,2,5
2065.0,draw,1.8,3.75,4.5,12,6,11,8,6,6,54,93,61,48,-7,15
2066.0,draw,3.4,3.2,2.25,9,11,6,7,3,3,59,82,53,63,2,8
2067.0,home win,1.4,4.75,8.0,8,2,6,5,4,9,54,90,72,45,-1,20
2068.0,home win,2.1,3.6,3.4,4,5,3,10,8,14,56,73,54,107,7,-4
2069.0,draw,3.8,3.8,1.85,5,12,8,8,10,5,59,50,88,58,-19,-10
2070.0,home win,2.0,3.3,4.2,0,9,2,7,14,4,69,62,67,56,9,-7
2071.0,draw,2.15,3.5,3.3,5,5,10,5,13,6,68,52,110,82,-4,-22
2072.0,home win,3.1,3.1,2.4,5,8,2,7,5,5,51,66,63,66,-12,8
2073.0,home win,3.2,3.5,2.2,2,10,5,8,9,4,92,43,51,56,14,-9
2074.0,away win,2.1,3.4,3.6,4,6,7,3,10,7,56,59,76,55,-2,1
2075.0,draw,2.1,3.25,3.5,6,5,9,8,7,10,92,60,43,87,22,-13
2076.0,away win,8.0,5.25,1.36,9,13,7,14,3,1,49,66,54,61,-6,-5
2077.0,away win,1.33,6.0,7.5,10,3,6,3,5,6,50,71,55,40,-8,17
2078.0,draw,2.8,3.1,2.7,9,11,6,9,3,4,67,54,61,60,8,-9
2079.0,away win,2.4,3.3,3.0,7,6,6,3,6,5,58,59,50,51,3,15
2080.0,home win,2.5,3.4,2.8,9,7,4,6,4,6,55,69,54,43,-2,8
2081.0,draw,2.1,3.1,4.0,3,8,4,4,7,5,45,58,83,64,-23,-14
2082.0,home win,1.95,3.25,4.33,6,4,6,5,5,8,59,71,61,53,-6,7
2083.0,draw,1.53,4.0,7.0,5,4,5,7,7,10,67,55,67,68,11,4
2084.0,away win,2.15,3.1,3.8,3,8,6,7,9,4,54,44,98,58,-26,-6
2085.0,home win,2.75,3.2,2.7,8,7,4,6,5,4,59,65,53,60,14,5
2086.0,home win,1.25,6.0,12.0,11,5,9,10,4,13,63,82,67,87,-2,7
2087.0,home win,1.12,9.0,21.0,15,4,15,6,1,7,70,102,68,41,-11,33
2088.0,away win,3.25,3.75,2.1,10,10,8,6,4,4,37,69,54,53,-6,-1
2089.0,home win,2.0,3.3,4.0,3,3,3,2,5,11,68,63,62,61,7,1
2090.0,home win,2.0,3.1,4.5,8,8,6,4,5,5,39,62,67,59,-14,-14
2091.0,away win,3.1,3.2,2.4,4,6,6,6,10,6,70,77,46,60,6,18
2092.0,away win,5.75,3.6,1.66,4,13,5,9,7,3,72,65,55,61,7,-6
2093.0,home win,1.7,4.2,4.5,10,6,6,5,5,5,70,61,55,59,-2,1
2094.0,home win,1.12,9.0,21.0,15,6,16,3,1,3,61,59,71,50,-22,-5
2095.0,home win,1.61,3.75,6.0,7,3,8,4,6,7,40,41,62,81,-7,-13
2096.0,home win,2.1,3.5,3.5,2,5,7,6,14,7,72,41,94,71,8,-4
2097.0,draw,2.87,3.3,2.5,9,6,7,6,6,6,61,71,54,77,3,13
2098.0,draw,2.2,3.3,3.4,3,11,7,6,9,2,59,57,91,46,-11,11
2099.0,home win,2.1,3.1,4.0,4,3,6,4,9,11,104,76,43,56,31,0
2100.0,home win,1.53,3.6,8.0,13,10,9,9,3,4,68,45,62,56,-7,-7
2101.0,draw,2.62,3.0,3.0,5,6,3,5,5,5,47,88,59,35,-14,26
2102.0,home win,1.53,4.33,6.0,5,4,4,5,6,10,54,71,66,75,0,18
2103.0,home win,1.83,3.6,4.5,8,4,7,6,6,7,74,49,61,86,18,-18
2104.0,home win,2.1,3.3,3.5,9,7,6,9,3,8,41,44,46,58,2,5
2105.0,away win,4.2,4.0,1.8,3,10,4,7,10,5,67,88,55,48,-11,6
2106.0,away win,10.0,5.25,1.33,3,15,6,15,9,2,46,59,68,61,-7,-11
2107.0,draw,1.61,3.75,6.0,7,4,7,5,6,9,58,75,78,65,15,3
2108.0,home win,2.4,3.2,3.1,2,1,4,4,8,10,44,68,61,46,0,9
2109.0,away win,2.15,3.3,3.5,8,10,4,9,6,6,55,60,59,56,-16,-11
2110.0,home win,2.25,3.25,3.4,4,5,3,4,7,6,53,55,63,55,-11,-4
2111.0,draw,1.28,5.75,11.0,15,10,12,9,2,5,58,81,54,57,6,23
2112.0,home win,3.75,3.6,2.0,0,5,5,7,12,6,61,60,60,65,-3,-5
2113.0,draw,2.37,3.25,3.1,4,7,5,8,10,6,58,42,82,57,9,-3
2114.0,home win,2.35,3.3,3.2,8,11,7,7,5,3,57,46,77,43,17,6
2115.0,home win,4.0,3.2,2.05,4,13,6,8,8,1,40,64,59,60,-1,-4
2116.0,home win,1.66,4.0,5.0,6,3,6,6,6,9,75,51,33,66,25,-10
2117.0,home win,1.2,6.5,15.0,10,7,10,4,7,7,95,60,50,67,11,-15
2118.0,draw,1.8,3.75,4.5,3,3,4,5,8,11,53,70,74,59,-10,-12
2119.0,away win,2.37,3.25,3.1,13,5,10,5,5,7,63,51,63,49,-14,-5
2120.0,draw,2.9,3.3,2.4,4,3,3,4,9,8,59,55,58,77,-2,-11
2121.0,away win,2.37,3.25,3.1,10,12,7,11,2,5,69,103,49,46,6,18
2122.0,home win,1.8,3.6,4.5,4,10,7,9,12,6,69,60,65,64,-17,-13
2123.0,home win,1.9,3.4,4.33,7,3,7,6,5,10,46,60,53,64,0,-10
2124.0,away win,2.0,3.3,4.0,2,7,5,6,11,5,45,53,78,53,-16,-4
2125.0,draw,4.75,4.0,1.7,10,13,7,12,4,4,46,69,44,57,4,16
2126.0,home win,2.25,3.0,3.6,7,6,6,6,7,7,51,43,56,57,-1,0
2127.0,draw,1.66,4.0,5.0,4,8,6,8,6,5,65,77,62,35,-3,21
2128.0,draw,1.83,3.5,4.5,8,11,9,9,6,5,76,45,66,76,8,8
2129.0,home win,2.0,3.4,3.8,4,5,3,4,10,8,59,54,71,73,-11,7
2130.0,draw,2.05,3.3,4.0,8,10,10,9,7,4,61,48,41,54,7,1
2131.0,home win,1.14,9.0,15.0,11,5,10,3,3,8,67,56,60,56,14,-1
2132.0,away win,1.8,3.8,4.5,3,4,6,2,11,8,56,43,68,80,-12,8
2133.0,home win,2.05,3.1,4.2,9,10,7,9,5,6,41,57,58,47,12,-4
2134.0,away win,6.0,3.5,1.65,7,9,9,7,8,4,60,68,67,45,-13,4
2135.0,draw,1.72,3.5,5.25,6,4,5,3,8,9,39,61,62,65,-2,-14
2136.0,away win,1.16,8.0,15.0,15,1,14,3,4,11,86,49,45,65,13,1
2137.0,draw,1.72,3.7,4.8,9,4,8,8,4,13,72,72,60,64,6,-10
2138.0,home win,2.5,3.4,2.8,3,4,4,7,8,7,55,63,62,58,-4,0
2139.0,away win,3.1,3.1,2.5,7,8,6,5,4,3,48,51,59,37,-13,7
2140.0,draw,1.72,3.6,5.0,5,7,6,6,10,4,57,51,76,54,-14,-15
2141.0,draw,2.3,3.3,3.2,4,3,3,5,9,11,52,57,75,71,-14,-12
2142.0,home win,2.1,3.25,3.8,8,9,4,12,3,6,50,57,39,41,8,6
2143.0,home win,1.7,3.6,5.5,8,4,9,5,5,7,46,61,48,58,6,-17
2144.0,away win,3.5,4.0,1.95,4,11,7,8,8,3,74,80,60,55,-1,13
2145.0,home win,1.57,3.75,7.0,9,6,7,6,4,6,53,50,50,74,3,-7
2146.0,draw,2.8,3.1,2.7,7,9,8,7,9,3,51,76,53,60,-7,7
2147.0,away win,5.25,4.75,1.53,7,12,6,13,8,5,50,91,75,50,13,21
2148.0,away win,2.7,3.2,2.75,4,7,2,5,8,7,60,49,59,54,8,0
2149.0,draw,2.37,3.2,3.0,3,9,4,7,11,3,54,47,69,45,-9,11
2150.0,away win,2.25,3.4,3.2,3,4,4,2,7,8,57,56,59,64,-10,-6
2151.0,home win,1.8,3.6,4.75,6,4,7,2,8,8,64,57,73,52,-7,18
2152.0,home win,3.8,3.6,1.95,8,4,7,9,2,10,50,83,52,54,-19,-3
2153.0,away win,2.75,3.7,2.45,12,11,13,9,6,4,87,82,57,63,20,14
2154.0,away win,1.66,3.75,5.5,5,5,5,3,7,5,61,63,80,71,-4,-13
2155.0,away win,2.3,3.0,3.4,7,8,4,7,5,6,43,45,56,49,-14,4
2156.0,home win,1.72,3.8,4.75,6,4,9,4,7,9,48,53,44,75,-6,-9
2157.0,away win,4.0,3.25,2.05,9,9,5,6,1,4,44,53,44,50,6,3
2158.0,home win,2.0,3.3,4.0,7,10,6,4,3,2,69,50,65,43,3,14
2159.0,home win,1.95,3.4,4.2,8,4,8,5,7,10,63,48,44,81,-1,10
